2026-02-26 05:10:22.197294 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:22.198755 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:22.200751 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:22.202042 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:22.667349 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:22.672061 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:22.674996 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:23.896425 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:23.900887 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:23.939009 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:23.941747 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:23.945709 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:23.948258 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:23.950813 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:23.953315 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:24.408323 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:24.411260 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:24.413887 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:24.416072 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:24.418591 | TCP | 172.64.148.235:443 -> 192.168.100.46:58116
2026-02-26 05:10:24.421048 | TCP | 192.168.100.46:58116 -> 172.64.148.235:443
2026-02-26 05:10:24.434618 | TCP | 172.64.148.235:443 -> 192.168.100.46:58116
2026-02-26 05:10:25.457512 | TCP | 192.168.100.46:60864 -> 57.144.149.32:5222
2026-02-26 05:10:25.496377 | TCP | 57.144.149.32:5222 -> 192.168.100.46:60864
2026-02-26 05:10:25.685725 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:25.689720 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:25.691392 | TCP | 57.144.149.32:5222 -> 192.168.100.46:60864
2026-02-26 05:10:25.728381 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:25.729558 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:25.730938 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:25.732607 | TCP | 192.168.100.46:60864 -> 57.144.149.32:5222
